storm_id,fips,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
Arthur-1996,37029,Tropical Storm,0,0,0,0,NA,NA
Arthur-1996,37044,Tropical Storm,0,0,0,0,NA,NA
Fran-1996,54071,Flash Flood,0,0,0,0,2000,NA
Fran-1996,54071,Thunderstorm Wind,0,0,0,0,1000,NA
Fran-1996,37069,Thunderstorm Wind,0,0,0,0,NA,NA
Arthur-1996,42054,Heat,3,0,0,0,NA,NA
Fran-1996,39029,Flash Flood,0,0,0,0,NA,NA
Bertha-1996,34017,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,42071,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,42055,Heavy Rain,0,0,0,0,NA,NA
Bertha-1996,45050,Hurricane (Typhoon),0,0,0,0,NA,NA
Bertha-1996,13116,Hurricane (Typhoon),0,0,0,0,NA,NA
Fran-1996,29071,Flash Flood,0,0,0,0,NA,NA
Arthur-1996,42069,Heat,0,0,0,0,NA,NA
Fran-1996,25021,Thunderstorm Wind,0,0,0,0,NA,NA
Bertha-1996,34009,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,42001,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,36019,Flash Flood,0,0,0,0,2.30E+07,NA
Fran-1996,6075,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,42101,Flash Flood,0,0,0,0,NA,NA
Fran-1996,34031,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,50010,Winter Storm,0,0,0,0,90000,NA
Fran-1996,50006,Winter Storm,0,0,0,0,30000,NA
Fran-1996,42067,Flood,0,0,0,0,NA,NA
Fran-1996,42070,Flood,0,0,0,0,NA,NA
Fran-1996,23007,Flash Flood,0,0,0,0,10000,NA
Fran-1996,34008,Flood,0,0,0,0,NA,NA
Fran-1996,34009,Flood,0,0,0,0,NA,NA
Fran-1996,34010,Flood,0,0,0,0,NA,NA
Fran-1996,36028,Winter Weather,0,0,0,0,10000,NA
Fran-1996,36027,Winter Weather,0,0,0,0,5000,NA
Fran-1996,42071,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,5047,Flash Flood,0,0,0,0,NA,NA
Fran-1996,54054,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,54049,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,54050,Heavy Snow,0,0,0,0,NA,NA
Fran-1996,34039,Heavy Rain,0,0,0,0,NA,NA
Fran-1996,50002,High Wind,0,0,0,0,10000,NA
Fran-1996,47051,Tornado,1,0,0,0,5.00E+06,10000
Fran-1996,50002,Winter Weather,0,0,0,0,5000,NA
Fran-1996,34003,Flash Flood,0,0,0,0,NA,NA
Fran-1996,34031,Flash Flood,0,0,0,0,NA,NA
Fran-1996,50003,Winter Storm,0,0,0,0,50000,NA
Fran-1996,42070,Heavy Rain,0,0,0,0,NA,NA
Arthur-1996,53006,Heavy Snow,0,0,0,0,NA,NA
Arthur-1996,53010,Heavy Snow,0,0,1,0,NA,NA
Fran-1996,34015,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,37069,Thunderstorm Wind,0,0,0,0,NA,NA
Fran-1996,54052,Heavy Snow,0,0,0,0,NA,NA
