YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
199906,2408966,5706241,2,4,NW,FENTON,42.83,-83.75,4250,8345
199906,2408966,5706242,1,4,NW,FENTON,42.83,-83.75,4250,8345
199907,2410361,5709269,1,,,INKSTER,48.15,-97.65,4809,9739
199907,2410361,5709270,1,3,SE,INKSTER,48.12,-97.6,4807,9736
199907,2410361,5709271,1,,,FARGO,46.87,-96.78,4652,9647
199907,2410361,5709272,1,6,W,ARGUSVILLE,47.05,-97.07,4703,9704
199907,2409802,5709867,1,,,,,,,
199906,2408966,5706243,2,,,ATLAS,42.93,-83.53,4256,8332
199907,2408383,5706008,1,,,MASON CITY,,,,
199907,2408383,5706009,1,,,FREMONT,41.22,-92.43,4113,9226
199907,2409529,5706010,1,,,MANLY,,,,
199907,2409529,5706011,1,3,NE,WAVERLY,,,,
199907,2409529,5706012,1,,,CLARKSVILLE,,,,
199907,2409529,5706013,1,,,MASON CITY,,,,
199907,2410075,5706770,1,,,,,,,
199905,2409600,5705790,1,1,W,MARLOW,34.65,-97.97,3439,9758
199904,2412078,5709948,1,,,FAIRBANK,42.63,-92.05,4238,9203
199906,2409290,5709623,1,,,OLTON,,,,
199906,2409291,5709624,1,2,NW,GIRARD,,,,
199906,2409291,5709625,1,,,COUNTYWIDE,,,,
199906,2409291,5709626,1,,,SOUTH PORTION,,,,
199905,2409600,5705783,1,,,GOLDSBY,35.15,-97.48,3509,9729
199905,2409600,5705784,1,3,S,FAIRMONT,36.3,-97.7,3618,9742
199905,2409600,5705780,1,5,E,BRAY,34.63,-97.72,3438,9743
199905,2409600,5705781,1,,,GEARY,35.88,-98.32,3553,9819
199905,2409600,5705782,1,,,GOLDSBY,35.15,-97.48,3509,9729
199907,2410280,5704290,1,5,NW,HARPER,,,,
199907,2410280,5704291,1,,,ARKANSAS CITY,,,,
199907,2410280,5704292,1,,,WINFIELD,37.25,-96.98,3715,9659
199907,2410280,5704293,1,,,NIOTAZE,37.07,-96.02,3704,9601
199907,2410280,5704294,1,,,COFFEYVILLE,37.03,-95.63,3702,9538
199906,2408444,5706478,1,,,FRANKLIN,36.72,-86.57,3643,8634
199906,2408444,5706479,1,,,MORGANTOWN,37.22,-86.7,3713,8642
199906,2408445,5706480,1,,,RUSSELL SPGS,37.05,-85.08,3703,8505
199906,2408967,5706301,1,,,MIDLAND,43.62,-84.23,4337,8414
199906,1082868,5706369,1,,,BYRDSTOWN,36.57,-85.13,3634,8508
199906,2409635,5704559,1,,,LAKEWOOD,39.73,-105.1,3944,10506
199906,2409063,5704554,1,8,SE,MATHESON,39.08,-103.88,3905,10353
199906,2409634,5704555,1,,,,,,,
199906,2409634,5704556,1,,,,,,,
199906,2409635,5704557,1,3,W,EVERGREEN,39.63,-105.37,3938,10522
199905,2410167,5704764,1,,,FREDERICK,34.38,-99.02,3423,9901
199910,2413667,5723250,1,,,FRASER,42.52,-82.97,4231,8258
199910,2413667,5723251,1,2,SW,MONROE,41.9,-83.43,4154,8326
199910,2413667,5723252,1,,,TECUMSEH,42,-83.93,4200,8356
199910,1088030,5722980,1,,,,,,,
199912,2414026,5721737,1,,,,,,,
199912,2414026,5721738,1,,,,,,,
199912,2414026,5721739,1,,,,,,,
199912,2414026,5721740,1,,,,,,,
199912,2414026,5721741,1,,,,,,,
199912,2414026,5721742,1,,,,,,,
199906,2409579,5705518,1,1,W,LOCO HILLS,32.82,-104,3249,10400
199906,2408992,5705362,1,,,,,,,
199905,2409595,5705398,2,5,SW,MINCO,35.25,-98,3515,9800
199907,2408381,5706002,1,,,AMES,42.03,-93.62,4202,9337
199907,2408965,5706214,1,,,,,,,
199906,2408375,5705195,1,,,MEADVILLE,41.63,-80.15,4138,8009
199906,2408375,5705196,1,,,WATERFORD,41.95,-79.98,4157,7959
199906,2408375,5705197,1,,,CORRY,41.92,-79.63,4155,7938
