FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
199907,7,0,1003409,5701088,D,7/7/99 12:00,38,F,Other,199907
199907,7,0,1003410,5701088,D,7/7/99 12:00,45,M,Other,199907
199907,7,0,1003411,5701088,D,7/7/99 12:00,59,M,Other,199907
199907,7,0,1003412,5701088,D,7/7/99 12:00,76,F,Other,199907
199907,8,0,1003413,5701088,D,7/8/99 12:00,37,F,Other,199907
199907,8,0,1003414,5701088,D,7/8/99 12:00,102,F,Other,199907
199907,6,0,1003415,5701089,D,7/6/99 12:00,27,M,Other,199907
199907,6,0,1003416,5701089,D,7/6/99 12:00,33,F,Other,199907
199907,26,0,1003542,5707187,D,7/26/99 12:00,69,M,Permanent Home,199907
199907,26,0,1003543,5707187,D,7/26/99 12:00,70,F,Permanent Home,199907
199907,26,0,1003544,5707187,D,7/26/99 12:00,75,F,Permanent Home,199907
199907,30,0,1003545,5707187,D,7/30/99 12:00,83,M,Permanent Home,199907
199907,26,0,1003546,5707187,D,7/26/99 12:00,85,M,Permanent Home,199907
199907,26,0,1003547,5707187,D,7/26/99 12:00,88,F,Permanent Home,199907
199907,26,0,1003548,5707187,D,7/26/99 12:00,91,F,Permanent Home,199907
199907,26,0,1003549,5707187,D,7/26/99 12:00,98,F,Permanent Home,199907
199907,27,0,1003550,5707219,D,7/27/99 12:00,71,F,Permanent Home,199907
199907,27,0,1003551,5708264,D,7/27/99 12:00,77,M,Permanent Home,199907
199907,24,0,1003552,5708264,D,7/24/99 12:00,79,F,Permanent Home,199907
199907,6,0,1003553,5706874,D,7/6/99 12:00,49,M,Camping,199907
199907,30,0,1003555,5707576,D,7/30/99 12:00,24,M,Outside/Open Areas,199907
199907,30,0,1003556,5707580,D,7/30/99 12:00,80,M,Other,199907
199901,2,0,1003215,5679163,D,1/2/99 12:00,87,M,Outside/Open Areas,199901
199901,2,0,1003216,5679179,D,1/2/99 12:00,95,M,Outside/Open Areas,199901
199901,2,0,1003217,5680130,D,1/2/99 12:00,16,M,Outside/Open Areas,199901
199901,2,0,1003218,5680130,D,1/2/99 12:00,17,M,Outside/Open Areas,199901
